date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,3,utst,m,n,1545,40,101,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,3,utst,f,n,1550,42,62,3,b,0
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,4,utst,f,n,1551,48,118,5,b,0
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,4,utst,f,n,1552,40,107,3,w,0
11/7/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/13/91,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/13/91,unknown lizard,unknown,c,grav,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/13/91,unknown lizard,unknown,c,sand,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/13/91,unknown lizard,unknown,g,basn,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/13/91,unknown lizard,unknown,g,ibpe,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/13/91,uta stansburiana,side-blotched lizard,g,ibpe,c,11,utst,j,n,NA,30,50,1,b,0
11/13/91,uta stansburiana,side-blotched lizard,m,rabb,a,16,utst,m,n,2151,38,88,2,w,0
11/13/91,uta stansburiana,side-blotched lizard,m,rabb,c,13,utst,f,n,2152,33,88,2,w,0
11/13/91,uta stansburiana,side-blotched lizard,m,well,b,5,utst,m,n,2154,37,67,2,b,0
11/13/91,uta stansburiana,side-blotched lizard,m,well,b,11,utst,f,n,2153,39,94,2,w,0
11/13/91,uta stansburiana,side-blotched lizard,t,east,b,12,utst,f,r,100,40,108,4,w,0
11/13/91,sceloporus undulatus,eastern fence,t,west,a,8,scun,f,n,23,41,111,4,w,0
3/11/92,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,unknown lizard,unknown,c,grav,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,unknown lizard,unknown,c,sand,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,unknown lizard,unknown,g,basn,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,unknown lizard,unknown,g,ibpe,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,unknown lizard,unknown,g,ibpe,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,uta stansburiana,side-blotched lizard,m,rabb,a,2,utst,m,NA,2155,40,105,3,w,0
3/11/92,unknown lizard,unknown,m,rabb,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/11/92,uta stansburiana,side-blotched lizard,t,east,b,4,utst,m,NA,2152,51,138,5,w,1
3/11/92,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
3/17/92,uta stansburiana,side-blotched lizard,c,cali,b,15,utst,m,n,2202,52,122,5,w,0
3/17/92,unknown lizard,unknown,c,grav,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
